Common Name,Botanical Name,Family,Description
Hairy Sterculia,Sterculia villosa,Sterculiaceae," Hairy Sterculia is a medium sized, native to India. Leaves, 
carried on 25-40 cm long 
stalks, are palmately 5-7-lobed, 20-40 cm long and broad, heart-shaped at 
the base, lobes somewhat oblong or obovate entire or 3-fid. Flowers are 
borne in panicles 15-30 cm long, rusty velvety, pendulous. Flowers are 
unisexual, with stalks 4-8 mm long. Sepal cup is bell-shaped, 5-partite, 
6-10 mm long, 10-15 mm across, yellow with pinkish throat. Sepals are 
lance-shaped, 4-6 mm long, pointed. The column of stamens is 4-5 mm long, 
recurved, anthers 10. Seed-pods are 5, stalkless, 4-6 cm long, leathery, 
rusty pubescent, many-seeded, red when ripe. Seeds oblong, smooth, black.
Flowering: December-March. "
Fragrant Padri Tree,Stereospermum chelonoides,Bignoniaceae," Fragrant Padri Tree is a large deciduous tree,
10-20 m tall, with velvet-hairy branches. Leaves are compound, 1-2 ft
long, with 3-4 pairs of leaflets. Leaflets are 7-15 cm long, broadly
elliptic, long-pointed. velvety on the underside, rounded and unequal
at base, with 6-8 nerves, short-stalked. Fragrant flowers are borne in
large lax panicles. They are 10-20 cm long, pinkish. Sepal cup is
bell-shaped, 1 cm long, hairy, 3-5 lobed. Stamens are 4, remaining
inside the flower-tube. Seed-pod is 1-2 ft long, cylindric, ribbed,
rough. Fragrant Padri Tree is globally distributed in Indo-Malesia.
Within India, it is found in tropical Himalayas, Assam, Meghalaya and
in moist deciduous forests of Western Ghats.  "
Yellow Snake Tree,Stereospermum colais,Bignoniaceae," Yellow Snake Tree is a deciduous tree, growing to 15-20 m tall, with the 
trunk 15-25 cm in diameter. Large pinnate leaves are 25-50 cm long. Elliptic 
leaflets, 3-6 on each side of midrib, are 8-14 X 2.5-6 cm. Flowers are pale 
yellow, with reddish-purple veins, slightly curved, about 2 cm long.  Upper lip is 2-lobed, and the lower 
one 3-lobed, velvety at the mouth. The fruit is long, 4-angular, 
curved, 30-70 cm, about 1 cm in diameter, brown, covered with white specks.
The Padiri (Tamil name) tree is associated with the Padaleeshwarar temple at
Tiruppathiripuliyur, Tamil Nadu. It is believed that Goddess Uma reached
Tiruppathiripuliyur after worship of 1008 Shiva sthalams. She worshipped Lord
Padaleeshwarar installed under a Padiri tree. After years of penance, Lord
Shiva appeared and he united with the Goddess under the sacred Padiri tree,
which is now the sthalavriksha of the temple.The tree is associated with the
Ekapatala, sister of Goddess Uma who took only one Patala leaf for food.
Flowering: May-July. "
Pink Jacaranda,Stereospermum kunthianum,Bignoniaceae," Pink Jacaranda is a slender tree to 15 m tall. The
trunk is rarely straight, and the branches are also crooked. Flowers
are borne in a drooping panicle of pink or purplish, trumpet-shaped
flowers which are borne when the tree is wintering. The tree in flower
is very showy and well worth cultivation as an ornamental. Sepal cup is
bell-shaped, 5-6 mm long and almost hairless. Flowers are about 5 cm
long, with the tube softly velvet-hairy. Fruits are slender, flat,
paired pods up to 60 x 1 cm, cylindrical, drooping, spirally twisted,
smooth, splitting in two and releasing many flat, long, narrow seeds
winged at each end, 2.5-3 cm long. The remains of the pods persist on
the tree for several months. The alternate leaves are imparipinnately
compound and some 25 cm long; leaflets are nearly opposite with one at
branch-ends leaflet, and with short, soft hairs, oblong to
oblong-elliptic in shape, green and hairless above, yellowish-green
with prominent venation below, tip somewhat narrowed, and the base
tapering. The leaf margin may be entire or sometimes toothed in coppice
shoots, while leaflet-stalks are virtually absent. Leaf-stalks may be
up to 7 cm long, and are caniculate. Immature leaves are occasionally
toothed and hairy.  Pink Jacaranda is native to Africa. 
"
Candyleaf,Stevia ovata,Asteraceae," Candyleaf is a multi-stemmed straggly shrub, 40-80 cm tall,  with arching 
canes topped by clusters of white daisy flower. Both the leaves and 
branches are arranged opposite each other. Leaf-stalks are 2-10 mm long. 
Leaf blades have raised venation (generally limited to mid-vein and 
primary laterals). Leaves are variable in shape but generally ovate to 
trullate and mostly 3-6 cm long with serrate margins. The stem has a furry 
appearance that darkens to a reddish hue at the base. Flower heads are 
arranged in more or less congested, compact clusters. Peduncles are
1-2 mm, sessile-glandular and finely villous. Involucres are 4–6 mm. 
Phyllaries are sessile-glandular and finely villous; apices rounded to 
blunt or obtuse. Flowers are white or light pink. Candyleaf is native to 
tropical America, from the mountains of Texas south to the mountains of 
Mexico, Ecuador and Peru. It has naturalized in parts of India. "
Stevia,Stevia rebaudiana,Asteraceae," Stevia is a herbaceous perennial, which is normally used as a natural herbal 
sweetener. It is native to Brazil, Venezuela, Colombia and Paraguay where the 
native Guarani have used it for over 1500 years to sweeten otherwise 
unpalatable medicinal drinks. It is a short plant, growing up to 2-3 ft in 
the wild and flowering from January to March in the southern hemisphere. 
Flowers are white, not showy. Stems are long, flattened and twisted with 
small grey green rounded leaves.The sweet leaves are used as sugar 
substitute. "
Hawaiian Sunset Vine,Stictocardia beraviensis,Convolvulaceae," Hawaiian Sunset Vine is a woody climber, growing up to 14 m long. Leaves 
are ovate, heart-shaped, 16-20 cm, pointed or blunt, stalk as long or 
slightly shorter than the blade. Flowers are large, 5 cm, bright 
crimson-red, striped orange within, inspiring the comparison with Hawaiian 
sunsets. Flowers are borne in clusters of 10 or so. Sepals are 7-13 mm, 
almost circular to elliptic. Fruit is about 1.4 cm, surrounded by enlarged 
sepals. Hawaiian Sunset Vine is native to W. Africa, Madagascar, and 
cultivated as a garden plant throughout the tropical world. "
Monarch Amazonvine,Stigmaphyllon emarginatum,Malpighiaceae," Monarch Amazonvine is a Twining shrubs; young branches
white-silky. Golden yellow flowers are arranged in more or less
elongate racemes or umbel-like corymbs. Flower-stalks are 1-2 cm long;
bracts and bracteoles lanceshaped, about 1 mm long. Flower-buds are
spherical, 3-4 mm across. Sepals are ovate, pointed, 1.5-2 x 2-2.5 mm;
glands 5, situated below calyx. Petals are clawed, 4 nearly equal, 1
smaller, yellow; limbs nearly round, entire or crenulate along margins,
6-9 x 4-5 mm. Stamens are 6 opposite to petals fertile, 4 sterile;
filaments about 2 mm long; anthers 1-1.5 mm long. Ovary white-woolly;
styles about 2 mm long; stigma leaf-like. Leaves are elliptic-oblong or
linear, shallowly heart-shaped or entire at base, notched or ending
abruptly in a small distinct point at tip, 1-14 x 0.5-9.5 cm, leathery,
hairless on both surfaces. Leaf-stalks are 0.8-2.5 cm long, with 2
glands where the stalk meets the leaf base. Fruit is a samara, 16-20 x
7-9 mm. Monarch Amazonvine is native to Tropical America. Flowering:
May-July.  
"
Fragrant Caper Vine,Stixis suaveolens,Capparaceae," Fragrant Caper Vine is a climbing shrub, ascending up
to 5 m, finely velvet-hairy, later becoming hairless. Leaves are
oblong, obovate or oblong-lanceshaped, wedge-shaped, somewhat pointed
to rounded at base, abruptly tapering at tip with 5-15 mm long acumen,
14-35 x 4-18 cm, hairless, leathery, glossy and dark green above, pale
green below; lateral nerves 5-12 pairs. Leaf-stalks are 1.5-4 cm long.
Flowers are borne in leaf-axils or at branch-ends, in sturdy panicles,
15-30 cm long, velvety, velvet-hairy; bracts linear or subulate, 2-4 mm
long, finely velvet-hairy. Flowers are fragrant, pale yellow or
greenish-yellow, 1.6-1.8 cm across. Flower-stalks are as long as
bracts, torus about 2.5 mm across. Sepals are elliptic-oblong, 5-6 x
2-2.5 mm, olive green, velvet-hairy, becoming reflexed on maturity.
Stamens are 38-52, filaments 5-6 mm long, hairless; anthers
orange-yellow. Fruit is on a stipe 3-5 mm thick, ellipsoid or obovoid,
2.5-6 x 2-4 cm, orange-brown, scurfy, warty, 3-valved.	The fruit is
eaten in China and NE India. Fragrant Caper Vine  is found in mixed
tropical and subtropical forests, often along streams, up to 1200 m, in
Sikkim, Assam, Arunachal Pradesh, Nagaland, Manipur, Mizoram, Tripura
and Meghalaya. It is also found in Nepal, Bhutan, Bangladesh, Myanmar,
China and S.E. Asia.  Flowering: February-May. 
"
Stokes Aster,Stokesia laevis,Asteraceae," Stokes' aster is an perennial herb with 6-8 in evergreen stalked basal 
leaves. In late spring several erect stems emerge, which have smaller, 
stem-clasping leaves and stand about 1-2 ft tall, each bearing 1-4 shaggy 
cornflower-like flower-heads 3-4 in across. The ray florets are fringed and 
blue, lavender, pink or white, in two concentric rows, and the disc florets 
are darker shades of the same colors. Flowering goes on for several weeks. 
Stokes aster is native to north America, grown as ornamental in India. "
Sand Paper Tree,Streblus asper,Moraceae," Sand Paper Tree is a rigid and densely branched tree growing from 4-10 m 
in height. The leaves are oblong-obovate to sub-rhomboid, 4-12 cm long,
very rough on both sides, with finely toothed margin, the tip blunt or 
tapering to a point and the base narrowed. The male flowers are in rounded 
heads, 4-7 mm in diameter, short peduncled, greenish-yellow, or nearly 
white. The female flowers are stalked, usually in pairs, green, the 
sepals become larger after flowering, and nearly enclose the fruit.
The fruit is ovoid, 8-10 
mm long, pale yellow, the pericarp soft and fleshy. The seed is ovoid, and 
5-6 mm long. Thrue to its name, the leaves of Sand Paper Tree are rough 
and are utilized for cleaning cooking utensils and as a substitute for 
sandpaper.  "
Cape Primrose,Streptocarpus rexii,Gesneriaceae," Cape Primrose is a medium-sized, stemless herb up, growing up to 15 cm 
tall, with a slender horizontal rhizome and a rosette of velvety, blunt-
tipped, strap-shaped leaves that grow up to 30 cm long. Each leaf grows 
from the base of the plant, and is an individual plant with its own roots 
and inflorescence. The inflorescence forms at the base of the leaf and 
grows 20 cm high, usually bearing 1 or 2 flowers and rarely up to 6 
flowers. The asymmetrical flowers are white or blue/pale violet, up to 7.5 
cm wide. The flowering period lasts from spring until autumn. The fruit is 
a spirally twisted capsule about 13 cm long. When the capsule ripens, it 
twists open along two slits that release a mass of small seeds. Cape Primrose is native to South Africa. "
Climbing Twisted-Lily,Streptolirion volubile,Commelinaceae," Climbing Twisted-Lily is a herb mostly climbing,
rarely erect. Stems are 0.5-6 m, often hairless, or covered with yellow
or brown, multicellular hairs. Leaf-stalks are 3-11.5 cm; leaf blade
heart-shaped-round, less often heart-shaped-ovate, 5-15 x 3-15 cm,
above velvet-hairy, tip often with a tail. Cincinni with 1 to several
flowers, in panicles, rarely cymes. Proximal bracts are leaflike, 1.5-6
cm; distal ones smaller and ovate-lanceshaped, rarely linear or
lanceshaped and boat-shaped. Flower-stalks are absent. Sepals are 3-5
mm, tip pointed. Petals are white or pale purple first, then turning
white, linear or rarely thread-like, 6-7 x 0.3-1 mm, slightly longer
than sepals. Capsules are 4-7 mm, with awn-shaped beak. Climbing
Twisted-Lily is found in the Himalayas, from Garhwal to Assam, Burma,
China, W. Japan, at altitudes of 1500-2400 m.  
Flowering: July-August. 
"
Simple Twisted Stalk,Streptopus simplex, Liliaceae,"
Looking at this plant from above, it's easy to miss the flowers, which dangle
beneath the stalks. This is a herbaceous plant which can reach 60cm in height.
There are usually two or three branches. The flowers have 6 Regular Parts and
are up to 1.3cm long. Flowers nodding, tepals pink or white,
spotted with purple. The flowers hang below the stem and do not emerge from
the leaf axis as is common. They instead emerge from the stem to the side of
the leaf and curve back under the leaf.
The red fruits of simple twisted-stalk, 5-6 mm in diameter, hang beneath the
plants.
Found in forests, bamboo thickets, hillsides along streams and alpine
grasslands of Bhutan, Myanmar, Nepal, Sikkim."
Marmalade Bush,Streptosolen jamesonii,Solanaceae," Marmalade bush, is an evergreen shrub that produces
loose clusters of flowers gradually changing from yellow to red as they
develop, resulting in an overall appearance resembling orange marmalade
(thus the name). The sole member of its genus, it is found in open
woodlands of Colombia, Ecuador, and Peru. It is cultivated in cooler
parts of India. The stems tend to be tall and slender, with an overall
height of 3-6 ft. The leaves are ovate to elliptic, green to dark
green, with a pattern of fine wrinkles. The flowers have a slender tube
3-4 cm long, with spreading petal lobes. The blooms can appear nearly
all year in mild-winter areas, but the heaviest flowering is from
spring through fall. "
Narrow-Leaved Witchweed,Striga angustifolia,Orobanchaceae," Narrow-Leaved Witchweed is an erect, annual or
biennial herb, 10-50 cm tall. Stems have stiffly erect, simple
branches, more or less velvet-hairy to densely covered in short rough
hairs. Leaves are nearly opposite but alternate above, linear to
linear-lanceolate, 1-2 cm long, finely velvety, margin entire. Flowers
are borne alternate solitary in the axils, together sometimes, forming
long, lax spikes. Lower bracts are leaf-like, the upper linear. Calyx
is tubular, 1.0-1.2 cm long, prominently 15-ribbed, 5-toothed, finely
velvety, teeth linear-lanceshaped, 3-5 mm long, elongating in fruit.
Flowers are white or cream with a greenish tube, velvet-hairy outside,
tube 1.0-1.5 cm long, abruptly curved just above the calyx teeth and
inflated above. Lower petals are obovate 6-8 mm long and about 5 mm
wide, rounded. Capsule is ovoid, 4-5 mm long, pointed at tip.
Narrow-Leaved Witchweed is native to Asia and Africa. In India it is
also found in the Himalayas, at altitudes of 600-1900 m.  
"
